Monat;Spediteur;Anlieferwerk;Sendungsgewicht [kg]
1;Sped1;Werk 1;1.004.567
1;Sped1;Werk 3;249.228
1;Sped1;Werk 2;152.674
1;Sped2;Werk 1;781.777
1;Sped2;Werk 3;493.002
1;Sped2;Werk 2;56.699
1;Sped3;Werk 1;1.729.125
1;Sped3;Werk 3;940.943
1;Sped3;Werk 2;108.814
1;Sped4;Werk 1;992.721
1;Sped4;Werk 3;212.141
1;Sped4;Werk 2;605.449
1;Sped5;Werk 1;1.763.341
1;Sped5;Werk 3;940.574
1;Sped5;Werk 2;1.982.952
1;Sped6;Werk 1;326.231
1;Sped6;Werk 3;93.558
1;Sped6;Werk 2;196.450
1;Sped7;Werk 1;565.886
1;Sped7;Werk 3;341.175
1;Sped7;Werk 2;296.386
1;Sped8;Werk 1;152.743
1;Sped8;Werk 3;178.214
1;Sped8;Werk 2;599
1;Sped9;Werk 1;87.740
1;Sped9;Werk 3;191.762
1;Sped9;Werk 2;118.109
1;Sped10;Werk 1;34.612
1;Sped10;Werk 3;69.042
1;Sped10;Werk 2;667.200
1;Sped11;Werk 1;204.763
1;Sped11;Werk 3;332.164
1;Sped11;Werk 2;157
1;Sped12;Werk 3;1
1;Sped12;Werk 2;191.520
1;Sped13;Werk 1;1.601.727
1;Sped13;Werk 3;959.065
1;Sped13;Werk 2;77.313
1;Sped14;Werk 1;1.537.130
1;Sped14;Werk 3;552.874
1;Sped14;Werk 2;336.118
1;Sped15;Werk 1;987.439
1;Sped15;Werk 3;457.297
1;Sped15;Werk 2;10.341
1;Sped16;Werk 1;662.379
1;Sped16;Werk 3;347.655
1;Sped16;Werk 2;1.012.424
1;Sped17;Werk 1;381.838
1;Sped17;Werk 3;130.208
1;Sped17;Werk 2;111.177
1;Sped18;Werk 1;364.313
1;Sped18;Werk 3;115.126
1;Sped18;Werk 2;28.420
1;Sped19;Werk 1;733.240
1;Sped19;Werk 3;665.294
1;Sped19;Werk 2;197.250
1;Sped20;Werk 1;973.217
1;Sped20;Werk 3;653.278
1;Sped20;Werk 2;264.182
1;Sped21;Werk 1;293.746
1;Sped21;Werk 3;1.112.958
1;Sped21;Werk 2;370.914
1;Sped22;Werk 1;831.700
1;Sped22;Werk 3;986.023
1;Sped22;Werk 2;258.730
1;Sped23;Werk 1;260.154
1;Sped23;Werk 3;59.854
1;Sped23;Werk 2;138.111
1;Sped24;Werk 1;559.281
1;Sped24;Werk 3;235.389
1;Sped24;Werk 2;490.493
1;Sped25;Werk 1;519.138
1;Sped25;Werk 3;438.941
1;Sped25;Werk 2;554.848
1;Sped26;Werk 1;1.626.684
1;Sped26;Werk 3;909.783
1;Sped26;Werk 2;101.699
1;Sped27;Werk 1;30.272
1;Sped27;Werk 3;15.696
1;Sped27;Werk 2;20.860
2;Sped1;Werk 1;983.519
2;Sped1;Werk 3;311.896
2;Sped1;Werk 2;135.226
2;Sped2;Werk 1;870.213
2;Sped2;Werk 3;581.111
2;Sped2;Werk 2;56.642
2;Sped3;Werk 1;1.835.958
2;Sped3;Werk 3;1.181.301
2;Sped3;Werk 2;50.180
2;Sped4;Werk 1;1.085.941
2;Sped4;Werk 3;250.831
2;Sped4;Werk 2;390.449
2;Sped5;Werk 1;1.799.693
2;Sped5;Werk 3;1.050.801
2;Sped5;Werk 2;1.899.714
2;Sped6;Werk 1;359.580
2;Sped6;Werk 3;115.673
2;Sped6;Werk 2;251.443
2;Sped7;Werk 1;587.108
2;Sped7;Werk 3;402.381
2;Sped7;Werk 2;287.884
2;Sped8;Werk 1;162.769
2;Sped8;Werk 3;171.865
2;Sped8;Werk 2;1.599
2;Sped9;Werk 1;90.434
2;Sped9;Werk 3;200.612
2;Sped9;Werk 2;166.948
2;Sped10;Werk 1;48.205
2;Sped10;Werk 3;77.158
2;Sped10;Werk 2;483.872
2;Sped11;Werk 1;218.774
2;Sped11;Werk 3;393.922
2;Sped11;Werk 2;707
2;Sped12;Werk 2;159.547
2;Sped13;Werk 1;1.667.765
2;Sped13;Werk 3;1.151.978
2;Sped13;Werk 2;167.005
2;Sped14;Werk 1;1.649.965
2;Sped14;Werk 3;673.310
2;Sped14;Werk 2;419.761
2;Sped15;Werk 1;1.068.137
