,Monat,Werk_1,Werk_2,Werk_3,Anlieferung_Werk_1,Anlieferung_Werk_2,Anlieferung_Werk_3
0,1,33839,45147,19438,19005764.0,8349889.0,11681245.0
1,2,36690,42656,24252,19991064.0,7819272.0,13606236.0
2,3,38211,46226,24978,21236860.0,8096733.0,14140830.0
3,4,36979,47929,23872,19945918.0,7345547.0,13796093.0
4,5,31164,47255,24145,17608707.0,7531626.0,13857626.0
5,6,25176,47667,21801,15688812.0,4387459.0,12356077.0
6,7,33159,46354,26475,18619100.0,6358161.0,16339792.0
7,8,17999,42802,25903,12618509.0,6028302.0,15542702.0
8,9,29654,50999,28315,18973217.0,7308676.0,16521654.0
9,10,33287,46386,23547,20379040.0,7473827.0,15206189.0
10,11,31415,44680,28120,18567285.0,8045755.0,16641619.0
11,12,19740,33242,21938,11031805.0,5215839.0,12566979.0
12,13,16956,40291,21910,13355592.0,7368379.0,13624568.0
13,14,29205,43123,24965,18698652.0,7882528.0,14901881.0
14,15,35790,49161,27874,22036622.0,8788759.0,16627849.0
15,16,27505,46865,26517,18182398.0,8341821.0,15885228.0
16,17,25175,48662,23695,15349760.0,7822311.0,13959715.0
17,18,29324,50915,27475,19534447.0,8816968.0,16269213.0
18,19,33396,43290,29142,21331652.0,8986147.0,17178786.0
19,20,20907,40469,26539,14338353.0,7682141.0,15224119.0
20,21,25806,53782,27528,18031487.0,8503234.0,15939568.0
21,22,32424,53095,28311,21120942.0,8446611.0,16407208.0
22,23,27453,50772,26355,18110548.0,9012372.0,15986818.0
23,24,15251,36915,19894,10076812.0,5704244.0,11220164.0
24,25,14546,38936,18868,13629359.0,7569695.0,11595417.0
25,26,21421,46005,26972,20426102.0,8126171.0,15993622.0
26,27,25488,50099,26511,22390162.0,7919617.0,15540023.0
27,28,31316,47458,28143,45230975.0,7560271.0,25332280.0
28,29,21013,46451,21297,34927421.0,6802907.0,25404050.0
29,30,31294,51767,29203,24026540.0,6943789.0,28496333.0
30,31,32063,45453,26573,24542835.0,5819455.0,21596353.0
31,32,26028,32187,29434,19169514.0,6586401.0,20501803.0
32,33,30324,48336,28894,23803063.0,6732771.0,17135313.0
33,34,28287,44789,23709,23710884.0,5952639.0,14284162.0
34,35,32752,47983,26480,24833781.0,6257285.0,21277664.0
35,36,22522,28135,14177,15498630.0,3579860.0,8177168.0
36,37,23230,36011,20718,18533445.0,6692590.0,13749285.0
37,38,22337,46076,25993,22891316.0,6035040.0,16104286.0
38,39,31567,51580,30210,56154574.0,6989604.0,23989488.0
39,40,22944,30223,26647,16042297.0,5315561.0,15294463.0
40,41,31125,48286,30402,22957213.0,6462406.0,17608421.0
41,42,22072,46240,28634,17014958.0,5982104.0,16950026.0
42,43,30083,47067,30906,20103637.0,5995508.0,18508437.0
43,44,16244,25332,33676,14443877.0,5637078.0,20192473.0
44,45,32167,41085,30794,23702838.0,6022764.0,17137398.0
45,46,29816,43322,30989,21562697.0,5940542.0,17584660.0
46,47,32244,48686,27354,22868424.0,7113343.0,19421599.0
47,48,19306,37219,20066,14286354.0,4254802.0,12966157.0
48,49,23545,37529,24062,19474903.0,6844820.0,15981293.0
49,50,23141,41037,28355,18387244.0,6336534.0,18209108.0
50,51,31970,53588,31851,23678390.0,7577193.0,24938616.0
